,Okres,Kraj,OborPece,PocetPoskytovatelu
85,Beroun,Středočeský kraj,Klinický psycholog,1
86,Beroun,Středočeský kraj,"Klinický psycholog, Sestra pro péči v psychiatrii, Všeobecná sestra, dětská a dorostová psychiatrie, anesteziologie a intenzivní medicína",1
87,Beroun,Středočeský kraj,"Klinický psycholog, Sestra pro péči v psychiatrii, psychiatrie",1
88,Beroun,Středočeský kraj,Optometrista,9
89,Beroun,Středočeský kraj,Ortotik-protetik,1
90,Beroun,Středočeský kraj,Porodní asistentka,2
91,Beroun,Středočeský kraj,"Sestra pro intenzivní péči, Všeobecná sestra",1
92,Beroun,Středočeský kraj,Všeobecná sestra,5
93,Beroun,Středočeský kraj,"Všeobecná sestra, paliativní medicína, nefrologie",1
94,Beroun,Středočeský kraj,Zubní technik,16
95,Beroun,Středočeský kraj,"Zubní technik, zubní lékařství",1
96,Beroun,Středočeský kraj,"Zubní technik, zubní lékařství, zubní lékařství",1
97,Beroun,Středočeský kraj,alergologie a klinická imunologie,1
98,Beroun,Středočeský kraj,algeziologie,2
99,Beroun,Středočeský kraj,anesteziologie a intenzivní medicína,11
100,Beroun,Středočeský kraj,"angiologie, kardiologie",2
101,Beroun,Středočeský kraj,chirurgie,13
102,Beroun,Středočeský kraj,dermatovenerologie,2
103,Beroun,Středočeský kraj,"dětská a dorostová psychiatrie, dětská a dorostová psychiatrie, psychiatrie, psychiatrie",1
104,Beroun,Středočeský kraj,"dětská nefrologie, praktické lékařství pro děti a dorost",1
105,Beroun,Středočeský kraj,"dětská neurologie, gynekologie dětí a dospívajících, Zubní technik, Ergoterapeut, paliativní medicína, neonatologie, neonatologie, dětská nefrologie, dětská kardiologie, algeziologie, zubní lékařství, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, urologie, traumatologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, praktické lékařství pro děti a dorost, pneumologie a ftizeologie, pneumologie a ftizeologie, plastická chirurgie, patologie, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurologie, neurologie, klinická biochemie, kardiologie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gynekologie a porodnictví, gynekologie a porodnictví, gastroenterologie, endokrinologie a diabetologie, dětské lékařství, dětské lékařství, dětské lékařství, dětské lékařství, cévní chirurgie, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1
106,Beroun,Středočeský kraj,"dětská neurologie, praktické lékařství pro děti a dorost",3
107,Beroun,Středočeský kraj,gynekologie a porodnictví,13
108,Beroun,Středočeský kraj,kardiologie,3
109,Beroun,Středočeský kraj,klinická biochemie,1
110,Beroun,Středočeský kraj,"klinická onkologie, klinická onkologie",1
111,Beroun,Středočeský kraj,"korektivní dermatologie, dermatovenerologie",1
112,Beroun,Středočeský kraj,"lékařská psychoterapie, Fyzioterapeut, Klinický logoped, Klinický psycholog, Nutriční terapeut, Ergoterapeut, sexuologie, algeziologie, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, revmatologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, pneumologie a ftizeologie, plastická chirurgie, plastická chirurgie, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, klinická onkologie, klinická biochemie, kardiologie, chirurgie, gynekologie a porodnictví, geriatrie, gastroenterologie, endokrinologie a diabetologie, anesteziologie a intenzivní medicína",1
113,Beroun,Středočeský kraj,nefrologie,1
114,Beroun,Středočeský kraj,neurologie,4
115,Beroun,Středočeský kraj,oftalmologie,5
116,Beroun,Středočeský kraj,ortodoncie,2
117,Beroun,Středočeský kraj,"ortodoncie, zubní lékařství",2
118,Beroun,Středočeský kraj,ortopedie a traumatologie pohybového ústrojí,1
119,Beroun,Středočeský kraj,"ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí",1
120,Beroun,Středočeský kraj,otorinolaryngologie a chirurgie hlavy a krku,2
121,Beroun,Středočeský kraj,paliativní medicína,1
122,Beroun,Středočeský kraj,pediatrie,5
123,Beroun,Středočeský kraj,"pediatrie, Fyzioterapeut, Klinický logoped, Klinický psycholog, dětská a dorostová psychiatrie, všeobecné praktické lékařství, vnitřní lékařství, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, pneumologie a ftizeologie, plastická chirurgie, ortopedie a traumatologie pohybového ústrojí, oftalmologie, neurologie, lékařská mikrobiologie, klinická onkologie, klinická biochemie, kardiologie, infekční lékařství, chirurgie, hematologie a transfúzní lékařství, gastroenterologie, endokrinologie a diabetologie, dermatovenerologie, alergologie a klinická imunologie",1
124,Beroun,Středočeský kraj,"plastická chirurgie, ortopedie a traumatologie pohybového ústrojí, dermatovenerologie, cévní chirurgie",1
125,Beroun,Středočeský kraj,"pneumologie a ftizeologie, pneumologie a ftizeologie, alergologie a klinická imunologie",1
126,Beroun,Středočeský kraj,pracovní lékařství,2
127,Beroun,Středočeský kraj,"pracovní lékařství, všeobecné praktické lékařství",1
128,Beroun,Středočeský kraj,praktické lékařství pro děti a dorost,9
129,Beroun,Středočeský kraj,"praktické lékařství pro děti a dorost, alergologie a klinická imunologie",2
130,Beroun,Středočeský kraj,"praktické lékařství pro děti a dorost, pneumologie a ftizeologie, pneumologie a ftizeologie, dětské lékařství",1
131,Beroun,Středočeský kraj,praktické lékárenství,19
132,Beroun,Středočeský kraj,"praktické lékárenství, praktické lékárenství",1
133,Beroun,Středočeský kraj,psychiatrie,4
134,Beroun,Středočeský kraj,radiologie a zobrazovací metody,2
135,Beroun,Středočeský kraj,"radiologie a zobrazovací metody, otorinolaryngologie a chirurgie hlavy a krku",1
136,Beroun,Středočeský kraj,rehabilitační a fyzikální medicína,1
137,Beroun,Středočeský kraj,urologie,1
138,Beroun,Středočeský kraj,"urologie, radiologie a zobrazovací metody, ortopedie a traumatologie pohybového ústrojí",1
139,Beroun,Středočeský kraj,"urologie, urologie",1
140,Beroun,Středočeský kraj,vnitřní lékařství,4
141,Beroun,Středočeský kraj,"vnitřní lékařství, endokrinologie a diabetologie",1
142,Beroun,Středočeský kraj,"vnitřní lékařství, kardiologie",1
143,Beroun,Středočeský kraj,"vnitřní lékařství, kardiologie, endokrinologie a diabetologie",1
144,Beroun,Středočeský kraj,"vnitřní lékařství, nefrologie",1
145,Beroun,Středočeský kraj,"vnitřní lékařství, ortopedie a traumatologie pohybového ústrojí, neurologie, gynekologie a porodnictví",1
146,Beroun,Středočeský kraj,"vnitřní lékařství, revmatologie, hematologie a transfúzní lékařství",1
147,Beroun,Středočeský kraj,všeobecné praktické lékařství,43
148,Beroun,Středočeský kraj,"všeobecné praktické lékařství, geriatrie",1
149,Beroun,Středočeský kraj,"všeobecné praktické lékařství, vnitřní lékařství",1
150,Beroun,Středočeský kraj,"všeobecné praktické lékařství, vnitřní lékařství, geriatrie",1
151,Beroun,Středočeský kraj,"všeobecné praktické lékařství, vnitřní lékařství, revmatologie",1
152,Beroun,Středočeský kraj,zubní lékařství,21
153,Beroun,Středočeský kraj,"zubní lékařství, oftalmologie",1
154,Beroun,Středočeský kraj,"zubní lékařství, zubní lékařství",18
155,Blansko,Jihomoravský kraj,Dentální hygienistka,6
156,Blansko,Jihomoravský kraj,"Dentální hygienistka, zubní lékařství",2
157,Blansko,Jihomoravský kraj,Fyzioterapeut,11
158,Blansko,Jihomoravský kraj,"Fyzioterapeut, Fyzioterapeut",1
159,Blansko,Jihomoravský kraj,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Klinický logoped, Klinický psycholog, Klinický psycholog, Ergoterapeut, Ergoterapeut, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína",1
160,Blansko,Jihomoravský kraj,"Fyzioterapeut, Fyzioterapeut, Klinický psycholog, Nutriční terapeut, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, dětské lékařství, dětské lékařství",1
161,Blansko,Jihomoravský kraj,"Fyzioterapeut, ortopedie a traumatologie pohybového ústrojí",1
162,Blansko,Jihomoravský kraj,"Fyzioterapeut, rehabilitační a fyzikální medicína",1
163,Blansko,Jihomoravský kraj,Klinický logoped,4
164,Blansko,Jihomoravský kraj,Klinický psycholog,1
165,Blansko,Jihomoravský kraj,Optometrista,9
166,Blansko,Jihomoravský kraj,Porodní asistentka,1
167,Blansko,Jihomoravský kraj,Všeobecná sestra,4
168,Blansko,Jihomoravský kraj,"Všeobecná sestra, Všeobecná sestra, paliativní medicína",1
169,Blansko,Jihomoravský kraj,"Všeobecná sestra, chirurgie",1
170,Blansko,Jihomoravský kraj,Zubní technik,10
171,Blansko,Jihomoravský kraj,"Zubní technik, zubní lékařství",3
172,Blansko,Jihomoravský kraj,alergologie a klinická imunologie,5
173,Blansko,Jihomoravský kraj,chirurgie,2
174,Blansko,Jihomoravský kraj,dermatovenerologie,4
175,Blansko,Jihomoravský kraj,dětská kardiologie,1
176,Blansko,Jihomoravský kraj,dětská neurologie,1
177,Blansko,Jihomoravský kraj,"dětská neurologie, Fyzioterapeut, Klinický logoped, Klinický psycholog, Nutriční terapeut, Ergoterapeut, paliativní medicína, foniatrie, dětská endokrinologie a diabetologie, algeziologie, praktické lékárenství, klinická farmacie, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, pneumologie a ftizeologie, pneumologie a ftizeologie, pneumologie a ftizeologie, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurologie, neurologie, neurologie, nefrologie, klinická onkologie, klinická biochemie, kardiologie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gastroenterologie, dermatovenerologie, dermatovenerologie, dermatovenerologie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1
178,Blansko,Jihomoravský kraj,"dětská neurologie, Fyzioterapeut, Klinický psycholog, Ergoterapeut, Všeobecná sestra, Všeobecná sestra, neonatologie, dětská nefrologie, dětská kardiologie, dětská gastroenterologie a hepatologie, dětská endokrinologie a diabetologie, praktické lékárenství, všeobecné praktické lékařství, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, praktické lékařství pro děti a dorost, patologie, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurologie, lékařská mikrobiologie, klinická biochemie, kardiologie, chirurgie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gastroenterologie, dětské lékařství, dětské lékařství, dětské lékařství, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1
179,Blansko,Jihomoravský kraj,"dětská otorinolaryngologie, otorinolaryngologie a chirurgie hlavy a krku",1
180,Blansko,Jihomoravský kraj,endokrinologie a diabetologie,1
181,Blansko,Jihomoravský kraj,gastroenterologie,1
182,Blansko,Jihomoravský kraj,gynekologie a porodnictví,19
183,Blansko,Jihomoravský kraj,kardiologie,1
184,Blansko,Jihomoravský kraj,klinická stomatologie,2
185,Blansko,Jihomoravský kraj,"lékařská mikrobiologie, alergologie a klinická imunologie",1
186,Blansko,Jihomoravský kraj,nefrologie,1
187,Blansko,Jihomoravský kraj,neurologie,3
188,Blansko,Jihomoravský kraj,oftalmologie,5
189,Blansko,Jihomoravský kraj,"ortodoncie, zubní lékařství",2
190,Blansko,Jihomoravský kraj,ortopedie a traumatologie pohybového ústrojí,7
191,Blansko,Jihomoravský kraj,otorinolaryngologie a chirurgie hlavy a krku,2
192,Blansko,Jihomoravský kraj,"paliativní medicína, vnitřní lékařství, nefrologie",1
193,Blansko,Jihomoravský kraj,"pediatrie, praktické lékařství pro děti a dorost",1
194,Blansko,Jihomoravský kraj,plastická chirurgie,1
195,Blansko,Jihomoravský kraj,"plastická chirurgie, chirurgie, gynekologie a porodnictví, gynekologie a porodnictví, anesteziologie a intenzivní medicína",1
196,Blansko,Jihomoravský kraj,pneumologie a ftizeologie,2
197,Blansko,Jihomoravský kraj,praktické lékařství pro děti a dorost,16
198,Blansko,Jihomoravský kraj,praktické lékárenství,25
199,Blansko,Jihomoravský kraj,"praktické lékárenství, praktické lékárenství",1
200,Blansko,Jihomoravský kraj,psychiatrie,5
201,Blansko,Jihomoravský kraj,"psychiatrie, psychiatrie",2
202,Blansko,Jihomoravský kraj,radiologie a zobrazovací metody,2
203,Blansko,Jihomoravský kraj,"rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, dětské lékařství, dětské lékařství",2
204,Blansko,Jihomoravský kraj,"traumatologie, ortopedie a traumatologie pohybového ústrojí",4
205,Blansko,Jihomoravský kraj,"tělovýchovné lékařství, všeobecné praktické lékařství",1
206,Blansko,Jihomoravský kraj,"tělovýchovné lékařství, všeobecné praktické lékařství, vnitřní lékařství",1
207,Blansko,Jihomoravský kraj,urologie,4
208,Blansko,Jihomoravský kraj,vnitřní lékařství,3
209,Blansko,Jihomoravský kraj,"vnitřní lékařství, endokrinologie a diabetologie",2
210,Blansko,Jihomoravský kraj,"vnitřní lékařství, gastroenterologie",5
211,Blansko,Jihomoravský kraj,"vnitřní lékařství, kardiologie",2
212,Blansko,Jihomoravský kraj,"vnitřní lékařství, revmatologie",2
213,Blansko,Jihomoravský kraj,všeobecné praktické lékařství,42
214,Blansko,Jihomoravský kraj,"všeobecné praktické lékařství, vnitřní lékařství",1
215,Blansko,Jihomoravský kraj,"všeobecné praktické lékařství, všeobecné praktické lékařství",12
216,Blansko,Jihomoravský kraj,zubní lékařství,46
217,Brno-město,Jihomoravský kraj,Adiktolog,2
218,Brno-město,Jihomoravský kraj,Dentální hygienistka,29
219,Brno-město,Jihomoravský kraj,"Dentální hygienistka, Zubní technik, zubní lékařství",1
220,Brno-město,Jihomoravský kraj,"Dentální hygienistka, klinická stomatologie",1
221,Brno-město,Jihomoravský kraj,"Dentální hygienistka, ortodoncie, zubní lékařství",2
222,Brno-město,Jihomoravský kraj,"Dentální hygienistka, orální a maxilofaciální chirurgie, orální a maxilofaciální chirurgie, zubní lékařství",2
223,Brno-město,Jihomoravský kraj,"Dentální hygienistka, zubní lékařství",27
224,Brno-město,Jihomoravský kraj,Farmaceutický asistent,1
225,Brno-město,Jihomoravský kraj,Fyzioterapeut,124
226,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Adiktolog, Adiktolog, tělovýchovné lékařství, hrudní chirurgie, hrudní chirurgie, angiologie, praktické lékárenství, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, traumatologie, traumatologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurochirurgie, neurochirurgie, klinická biochemie, kardiologie, chirurgie, chirurgie, chirurgie, chirurgie, chirurgie, chirurgie, chirurgie, chirurgie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gastroenterologie, endokrinologie a diabetologie, cévní chirurgie, cévní chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1
227,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Ergoterapeut",2
228,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Ergoterapeut, chirurgie",1
229,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Fyzioterapeut",15
230,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Klinický psycholog, Ergoterapeut, Ergoterapeut, Všeobecná sestra, Všeobecná sestra, rehabilitační a fyzikální medicína, dětské lékařství",1
231,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Fyzioterapeut, Klinický psycholog, Dentální hygienistka, Nutriční terapeut, sexuologie, intenzívní medicína, hrudní chirurgie, foniatrie, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, urologie, urologie, traumatologie, traumatologie, traumatologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, plastická chirurgie, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurologie, neurochirurgie, nefrologie, klinická biochemie, chirurgie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gynekologie a porodnictví, gastroenterologie, cévní chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1
232,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Klinický logoped, Ergoterapeut, Všeobecná sestra",1
233,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Klinický logoped, Všeobecná sestra, Všeobecná sestra, Všeobecná sestra, Všeobecná sestra, paliativní medicína, paliativní medicína, dětská urologie, dětská kardiologie, dětská dermatovenerologie, vnitřní lékařství, pneumologie a ftizeologie, dermatovenerologie, alergologie a klinická imunologie",1
234,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Klinický psycholog, Nutriční terapeut, Zdravotní laborant, Radiologický asistent, Všeobecná sestra, neonatologie, neonatologie, algeziologie, algeziologie, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, revmatologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, otorinolaryngologie a chirurgie hlavy a krku, neurologie, nefrologie, klinická onkologie, klinická biochemie, kardiologie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gynekologie a porodnictví, gynekologie a porodnictví, geriatrie, geriatrie, geriatrie, gastroenterologie, endokrinologie a diabetologie, dětské lékařství, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1
235,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Klinický psycholog, Nutriční terapeut, tělovýchovné lékařství, radiologie a zobrazovací metody, neurologie, lékařská genetika, klinická biochemie, hematologie a transfúzní lékařství",1
236,Brno-město,Jihomoravský kraj,"Fyzioterapeut, Všeobecná sestra, Všeobecná sestra, Všeobecná sestra, Všeobecná sestra, Všeobecná sestra, paliativní medicína",1
237,Brno-město,Jihomoravský kraj,"Fyzioterapeut, angiologie, rehabilitační a fyzikální medicína, plastická chirurgie, ortopedie a traumatologie pohybového ústrojí, klinická onkologie, chirurgie, alergologie a klinická imunologie",1
238,Brno-město,Jihomoravský kraj,"Fyzioterapeut, chirurgie",1
239,Brno-město,Jihomoravský kraj,"Fyzioterapeut, dětské lékařství",1
240,Brno-město,Jihomoravský kraj,"Fyzioterapeut, neurologie",2
241,Brno-město,Jihomoravský kraj,"Fyzioterapeut, ortopedie a traumatologie pohybového ústrojí",1
242,Brno-město,Jihomoravský kraj,"Fyzioterapeut, rehabilitační a fyzikální medicína",15
243,Brno-město,Jihomoravský kraj,"Fyzioterapeut, rehabilitační a fyzikální medicína, ortopedie a traumatologie pohybového ústrojí",2
244,Brno-město,Jihomoravský kraj,"Fyzioterapeut, traumatologie, traumatologie, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, chirurgie, chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1
245,Brno-město,Jihomoravský kraj,"Fyzioterapeut, tělovýchovné lékařství",1
246,Brno-město,Jihomoravský kraj,"Fyzioterapeut, tělovýchovné lékařství, rehabilitační a fyzikální medicína",1
